commit	score	val_score	deepset_score	jackhhao_score	safeguard_score	status	description
3b39414	0.8068	0.8668	0.6599	0.8724	0.7684		+24/-10 lines in experiment.py
3b39414	-1.0000	0.8243	-1.0000	-1.0000	-1.0000		+29/-10 lines in experiment.py
3b39414	-1.0000	0.8243	-1.0000	-1.0000	-1.0000		+30/-10 lines in experiment.py
3b39414	-1.0000	0.8243	-1.0000	-1.0000	-1.0000		+29/-10 lines in experiment.py
3b39414	0.8068	0.8668	0.6599	0.8724	0.7684		+24/-10 lines in experiment.py
3b39414	0.8125	0.8809	0.6599	0.8724	0.7684		+27/-10 lines in experiment.py
3b39414	-1.0000	0.8770	0.6703	0.8473	-1.0000		+27/-10 lines in experiment.py
3b39414	0.8125	0.8809	0.6599	0.8724	0.7684		+27/-10 lines in experiment.py
3b39414	-1.0000	0.8771	0.6903	0.8772	-1.0000		+27/-10 lines in experiment.py
3b39414	-1.0000	0.8790	0.6840	0.8724	-1.0000		+27/-10 lines in experiment.py
3b39414	0.8135	0.8809	0.6599	0.8724	0.7735		+27/-10 lines in experiment.py
3b39414	-1.0000	0.8790	0.6840	0.8724	-1.0000		+27/-10 lines in experiment.py
3b39414	-1.0000	0.8790	0.6840	0.8724	-1.0000		+27/-10 lines in experiment.py
3b39414	-1.0000	0.8781	0.6840	0.8724	-1.0000		+27/-10 lines in experiment.py
3b39414	-1.0000	0.8705	0.6840	0.8724	-1.0000		+27/-10 lines in experiment.py
