rows,tp,fp,tn,fn,accuracy,fpr,fnr,adv_precision,adv_recall,adv_f1,benign_precision,benign_recall,benign_f1,dataset,deberta_threshold,route_abstain,route_deberta,route_llm,route_ml
1618,1141,20,280,177,0.8782447466007417,0.06666666666666667,0.13429438543247343,0.9827734711455641,0.8657056145675266,0.9205324727712788,0.612691466083151,0.9333333333333333,0.7397622192866579,test,0.7,49,795,27,747
1618,1153,27,273,165,0.8813349814585909,0.09,0.1251896813353566,0.9771186440677966,0.8748103186646434,0.9231385108086468,0.6232876712328768,0.91,0.7398373983739838,test,0.75,71,768,32,747
1618,1174,30,270,144,0.892459826946848,0.1,0.10925644916540213,0.9750830564784053,0.8907435508345979,0.9310071371927042,0.6521739130434783,0.9,0.7563025210084033,test,0.8,89,739,43,747
1618,1211,35,265,107,0.9122373300370828,0.11666666666666667,0.08118361153262518,0.9719101123595506,0.9188163884673748,0.9446177847113885,0.7123655913978495,0.8833333333333333,0.7886904761904762,test,0.85,120,690,61,747
1618,1262,39,261,56,0.9412855377008653,0.13,0.042488619119878605,0.9700230591852421,0.9575113808801214,0.9637266132111494,0.8233438485804416,0.87,0.8460291734197732,test,0.9,158,630,83,747
1618,1290,40,260,28,0.957972805933251,0.13333333333333333,0.021244309559939303,0.9699248120300752,0.9787556904400607,0.974320241691843,0.9027777777777778,0.8666666666666667,0.8843537414965987,test,0.93,180,600,91,747
1618,1290,42,258,28,0.9567367119901112,0.14,0.021244309559939303,0.9684684684684685,0.9787556904400607,0.9735849056603774,0.9020979020979021,0.86,0.8805460750853243,test,0.95,203,566,102,747
1618,1291,42,258,27,0.9573547589616811,0.14,0.0204855842185129,0.9684921230307577,0.9795144157814871,0.9739720860052811,0.9052631578947369,0.86,0.8820512820512821,test,0.97,222,541,108,747
1618,1293,55,245,25,0.9505562422744128,0.18333333333333332,0.01896813353566009,0.9591988130563798,0.9810318664643399,0.9699924981245311,0.9074074074074074,0.8166666666666667,0.8596491228070176,test,0.99,261,473,137,747
2427,468,56,1524,379,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.8931297709923665,0.5525383707201889,0.6827133479212253,0.8008407777193904,0.9645569620253165,0.8751076658053402,external_combined,0.7,452,0,1974,1
2427,468,56,1524,379,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.8931297709923665,0.5525383707201889,0.6827133479212253,0.8008407777193904,0.9645569620253165,0.8751076658053402,external_combined,0.75,452,0,1974,1
2427,468,56,1524,379,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.8931297709923665,0.5525383707201889,0.6827133479212253,0.8008407777193904,0.9645569620253165,0.8751076658053402,external_combined,0.8,452,0,1974,1
2427,468,56,1524,379,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.8931297709923665,0.5525383707201889,0.6827133479212253,0.8008407777193904,0.9645569620253165,0.8751076658053402,external_combined,0.85,452,0,1974,1
2427,468,56,1524,379,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.8931297709923665,0.5525383707201889,0.6827133479212253,0.8008407777193904,0.9645569620253165,0.8751076658053402,external_combined,0.9,452,0,1974,1
