dataset,hybrid_routed_to,has_jailbreak_keyword,has_policy_keyword,has_roleplay_keyword,prompt_length_bucket,rows
safeguard,deberta,False,False,False,121-240,49
safeguard,deberta,False,False,False,<=120,35
deepset,deberta,False,False,False,<=120,20
safeguard,abstain,False,False,False,960+,16
safeguard,deberta,False,False,False,241-480,16
jackhhao,deberta,False,False,True,<=120,7
jackhhao,abstain,False,False,False,960+,3
jackhhao,deberta,False,False,True,121-240,3
safeguard,abstain,False,False,False,241-480,3
safeguard,abstain,False,False,False,481-960,3
safeguard,abstain,False,False,False,<=120,3
safeguard,abstain,False,False,False,121-240,2
deepset,deberta,False,False,False,121-240,2
safeguard,abstain,False,False,True,960+,2
safeguard,llm,False,False,True,960+,2
safeguard,abstain,False,False,True,481-960,2
safeguard,deberta,False,False,False,481-960,2
deepset,abstain,False,False,False,<=120,1
safeguard,llm,False,False,True,241-480,1
safeguard,deberta,False,False,True,121-240,1
jackhhao,abstain,False,False,False,241-480,1
safeguard,llm,False,False,False,121-240,1
deepset,deberta,False,False,False,241-480,1
jackhhao,abstain,False,False,True,241-480,1
jackhhao,abstain,False,False,True,960+,1
safeguard,abstain,False,False,True,241-480,1
safeguard,deberta,False,False,True,241-480,1
safeguard,abstain,True,False,True,960+,1
jackhhao,deberta,False,False,False,241-480,1
safeguard,abstain,True,False,True,481-960,1
jackhhao,deberta,False,False,False,<=120,1
safeguard,abstain,False,True,True,960+,1
jackhhao,llm,True,True,False,121-240,0
jackhhao,llm,True,True,False,481-960,0
jackhhao,llm,True,True,False,960+,0
jackhhao,llm,True,True,True,<=120,0
jackhhao,llm,True,True,True,121-240,0
jackhhao,llm,True,True,True,241-480,0
safeguard,abstain,True,False,False,121-240,0
jackhhao,llm,True,True,True,481-960,0
safeguard,abstain,True,False,False,<=120,0
jackhhao,llm,True,True,True,960+,0
safeguard,abstain,False,True,True,481-960,0
safeguard,abstain,False,True,True,241-480,0
safeguard,abstain,False,True,True,121-240,0
safeguard,abstain,False,True,True,<=120,0
safeguard,abstain,False,True,False,960+,0
safeguard,abstain,False,True,False,481-960,0
safeguard,abstain,False,True,False,241-480,0
safeguard,abstain,False,True,False,121-240,0
safeguard,abstain,False,True,False,<=120,0
safeguard,abstain,False,False,True,<=120,0
safeguard,abstain,False,False,True,121-240,0
jackhhao,llm,True,True,False,241-480,0
jackhhao,llm,True,False,True,<=120,0
jackhhao,llm,True,True,False,<=120,0
jackhhao,llm,True,False,True,960+,0
jackhhao,llm,False,False,True,121-240,0
jackhhao,llm,False,False,True,<=120,0
jackhhao,llm,False,False,False,960+,0
