rows,tp,fp,tn,fn,accuracy,fpr,fnr,adv_precision,adv_recall,adv_f1,benign_precision,benign_recall,benign_f1,slice_name,slice_value
408,366,42,0,0,0.8970588235294118,1.0,0.0,0.8970588235294118,1.0,0.9457364341085273,0.0,0.0,0.0,external_route,abstain
91,68,18,3,2,0.7802197802197802,0.8571428571428571,0.02857142857142857,0.7906976744186046,0.9714285714285714,0.8717948717948717,0.6,0.14285714285714285,0.23076923076923073,main_route,llm
180,127,18,16,19,0.7944444444444444,0.5294117647058824,0.13013698630136986,0.8758620689655172,0.8698630136986302,0.8728522336769761,0.45714285714285713,0.47058823529411764,0.46376811594202894,main_route,abstain
116,39,24,32,21,0.6120689655172413,0.42857142857142855,0.35,0.6190476190476191,0.65,0.6341463414634146,0.6037735849056604,0.5714285714285714,0.5871559633027522,external_dataset,deepset
715,50,139,379,147,0.6,0.26833976833976836,0.7461928934010152,0.26455026455026454,0.25380710659898476,0.25906735751295334,0.720532319391635,0.7316602316602316,0.7260536398467434,external_route,deberta
293,156,26,93,18,0.8498293515358362,0.2184873949579832,0.10344827586206896,0.8571428571428571,0.896551724137931,0.8764044943820224,0.8378378378378378,0.7815126050420168,0.808695652173913,external_length_bucket,960+
262,126,18,105,13,0.8816793893129771,0.14634146341463414,0.09352517985611511,0.875,0.9064748201438849,0.8904593639575972,0.8898305084745762,0.8536585365853658,0.871369294605809,external_dataset,jackhhao
300,0,40,260,0,0.8666666666666667,0.13333333333333333,,0.0,0.0,0.0,1.0,0.8666666666666667,0.9285714285714286,main_label_category,benign
300,0,40,260,0,0.8666666666666667,0.13333333333333333,,0.0,0.0,0.0,1.0,0.8666666666666667,0.9285714285714286,main_attack_name,benign
570,60,58,379,73,0.7701754385964912,0.13272311212814644,0.5488721804511278,0.5084745762711864,0.45112781954887216,0.4780876494023904,0.838495575221239,0.8672768878718535,0.8526434195725535,external_length_bucket,121-240
1047,184,67,524,272,0.6762177650429799,0.11336717428087986,0.5964912280701754,0.7330677290836654,0.40350877192982454,0.5205091937765205,0.6582914572864321,0.8866328257191202,0.7555875991348233,external_length_bucket,<=120
2049,302,143,1258,346,0.7613469985358712,0.10206995003568879,0.5339506172839507,0.6786516853932584,0.4660493827160494,0.5526075022872827,0.78428927680798,0.8979300499643112,0.8372712146422628,external_dataset,safeguard
352,28,26,287,11,0.8948863636363636,0.08306709265175719,0.28205128205128205,0.5185185185185185,0.717948717948718,0.6021505376344085,0.9630872483221476,0.9169329073482428,0.9394435351882161,external_length_bucket,241-480
165,39,8,112,6,0.9151515151515152,0.06666666666666667,0.13333333333333333,0.8297872340425532,0.8666666666666667,0.8478260869565217,0.9491525423728814,0.9333333333333333,0.9411764705882353,external_length_bucket,481-960
600,348,4,241,7,0.9816666666666667,0.0163265306122449,0.01971830985915493,0.9886363636363636,0.9802816901408451,0.9844413012729843,0.9717741935483871,0.9836734693877551,0.9776876267748479,main_route,deberta
1303,50,4,1016,233,0.8181120491174213,0.00392156862745098,0.823321554770318,0.9259259259259259,0.17667844522968199,0.29673590504451036,0.8134507606084868,0.996078431372549,0.8955486998677831,external_route,llm
87,78,0,0,9,0.896551724137931,,0.10344827586206896,1.0,0.896551724137931,0.9454545454545454,0.0,0.0,0.0,main_attack_name,BAE
91,86,0,0,5,0.945054945054945,,0.054945054945054944,1.0,0.945054945054945,0.9717514124293786,0.0,0.0,0.0,main_attack_name,Bert-Attack
548,520,0,0,28,0.948905109489051,,0.051094890510948905,1.0,0.948905109489051,0.9737827715355805,0.0,0.0,0.0,main_label_category,nlp_attack
69,66,0,0,3,0.9565217391304348,,0.043478260869565216,1.0,0.9565217391304348,0.9777777777777777,0.0,0.0,0.0,main_attack_name,TextBugger
94,90,0,0,4,0.9574468085106383,,0.0425531914893617,1.0,0.9574468085106383,0.9782608695652174,0.0,0.0,0.0,main_attack_name,TextFooler
50,48,0,0,2,0.96,,0.04,1.0,0.96,0.9795918367346939,0.0,0.0,0.0,main_attack_name,Alzantot
81,78,0,0,3,0.9629629629629629,,0.037037037037037035,1.0,0.9629629629629629,0.9811320754716981,0.0,0.0,0.0,main_attack_name,PWWS
76,74,0,0,2,0.9736842105263158,,0.02631578947368421,1.0,0.9736842105263158,0.9866666666666666,0.0,0.0,0.0,main_attack_name,Deep Word Bug
770,770,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_label_category,unicode_attack
747,747,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_route,ml
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Bidirectional Text
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Deletion Characters
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Diacritcs
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Full Width Text
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Homoglyphs
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Numbers
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Spaces
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Underline Accent Marks
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Unicode Tags Smuggling
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Upside Down Text
70,70,0,0,0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,main_attack_name,Zero Width
